,value
486,3.11
487,3.78
488,2.89
489,4.61
490,3.44
491,3.67
492,1.22
493,4.06
494,0.89
495,3.5
496,1.06
497,3.72
498,3.0
499,3.78
500,2.94
501,3.06
502,2.17
503,7.28
504,7.11
505,5.61
506,4.61
507,6.39
508,10.06
509,11.78
510,7.06
511,5.11
512,7.11
513,10.28
514,7.89
515,11.61
516,9.44
517,7.61
518,3.22
519,7.33
520,13.67
521,10.17
522,10.17
523,13.17
524,11.5
525,11.11
526,6.17
527,7.17
528,13.78
529,9.17
530,7.83
531,9.67
532,10.72
533,13.17
534,9.22
535,8.0
536,9.67
537,3.67
538,7.0
539,7.06
540,12.06
541,8.78
542,11.33
543,13.89
544,6.0
545,7.11
546,5.17
547,9.0
548,11.11
549,6.94
550,9.72
551,6.0
552,9.06
553,7.39
554,6.0
555,9.89
556,4.78
557,10.56
558,8.33
559,15.28
560,11.5
561,6.94
562,6.11
563,6.22
564,7.28
565,7.44
566,10.94
567,5.39
568,7.33
569,9.11
570,8.78
571,2.22
572,3.22
573,6.56
574,6.72
575,2.33
576,10.72
577,4.67
578,9.44
579,6.28
580,6.5
581,5.0
582,10.06
583,9.5
584,9.0
585,6.22
586,7.0
587,15.0
588,7.28
589,5.17
590,4.17
591,10.78
592,14.33
593,4.17
594,8.28
595,5.56
596,10.72
597,5.06
598,3.33
599,3.78
600,6.22
601,7.83
602,11.83
603,6.0
604,6.83
605,5.89
606,9.67
607,8.11
608,7.78
609,5.06
610,10.83
611,6.39
612,4.83
613,2.61
614,2.44
615,3.39
616,3.56
617,4.56
618,6.67
619,1.78
620,8.61
621,2.0
622,10.89
623,3.83
624,6.5
625,3.78
626,3.83
627,5.11
628,3.56
629,2.28
630,5.22
631,4.22
632,1.72
633,2.89
634,7.0
635,2.94
636,6.67
637,3.0
638,1.11
639,4.83
640,3.56
641,10.06
642,5.11
643,9.94
644,3.56
645,5.5
646,6.61
647,6.78
648,11.11
649,7.56
650,15.0
651,8.72
652,11.56
653,10.39
654,14.11
655,8.39
656,9.11
657,2.5
658,9.17
659,7.11
660,12.83
661,5.94
662,6.67
663,5.0
664,8.67
665,8.94
666,10.44
667,10.5
668,12.28
669,15.22
670,7.17
671,8.11
672,11.56
673,4.83
674,12.28
675,10.67
676,9.94
677,10.22
678,8.28
679,4.28
680,6.06
681,9.22
682,9.5
683,10.89
684,8.17
685,9.5
686,6.33
687,8.11
688,6.5
689,6.17
690,13.06
691,9.33
692,10.72
693,9.56
694,6.83
695,9.56
696,6.33
697,7.28
698,7.22
699,6.72
700,11.28
701,11.78
702,5.56
703,5.06
704,6.56
705,5.22
706,6.67
707,4.0
708,4.56
709,10.94
710,12.44
711,6.33
712,8.89
713,13.56
714,6.94
715,9.17
716,6.28
717,5.72
718,4.67
719,5.11
720,3.56
721,9.5
722,2.83
723,5.89
724,2.72
725,1.56
726,4.61
727,3.44
728,6.06
729,4.22
730,7.06
731,3.0
732,5.06
733,6.28
734,1.89
735,2.67
736,2.33
737,4.5
738,4.17
739,1.78
740,1.67
741,2.89
742,2.61
743,4.44
744,0.83
745,2.72
746,3.06
747,1.94
748,0.61
749,0.83
750,3.56
751,2.44
752,6.83
753,15.11
754,6.61
755,12.06
756,7.33
757,5.83
758,12.06
759,8.44
760,5.94
761,8.17
762,7.61
763,8.83
764,6.22
765,5.17
766,10.78
767,10.89
768,7.89
769,6.78
770,4.83
771,8.5
772,9.11
773,10.56
774,3.89
775,16.94
776,10.89
777,6.28
778,10.5
779,6.56
780,10.67
781,13.06
782,10.06
783,10.5
784,6.17
785,6.89
786,9.33
787,3.94
788,11.0
789,11.67
790,6.22
791,11.0
792,8.11
793,8.33
794,9.06
795,3.67
796,6.44
797,7.28
798,5.39
799,7.72
800,5.0
801,1.5
802,10.78
803,5.5
804,4.06
805,11.06
806,2.56
807,7.78
808,11.28
809,5.28
810,11.11
811,7.28
812,10.44
813,5.06
814,9.28
815,8.39
816,9.5
817,5.11
818,8.67
819,7.22
820,6.67
821,6.22
822,7.0
823,11.22
824,6.89
825,9.06
826,6.61
827,12.89
828,6.94
829,11.94
830,12.17
831,8.72
832,12.11
833,10.39
834,5.11
835,5.33
836,8.72
837,10.67
838,6.17
839,4.06
840,7.28
841,3.22
842,7.94
843,4.44
844,5.83
845,4.83
846,6.39
847,10.33
848,4.56
849,3.06
850,6.06
851,3.28
852,1.67
853,5.56
854,1.33
855,2.56
856,6.5
857,0.89
858,13.17
859,4.83
860,3.94
861,3.78
862,2.44
863,6.0
864,6.89
865,2.33
866,4.17
867,0.56
868,12.89
869,5.22
870,3.33
871,0.78
872,2.56
873,0.94
874,2.17
875,2.06
876,3.44
877,5.06
878,0.67
879,0.67
880,3.06
881,2.61
882,3.06
883,2.11
884,1.61
885,0.94
886,0.72
887,5.11
888,0.78
889,0.72
890,2.67
891,1.06
892,6.06
893,2.56
894,8.94
895,5.61
896,11.89
897,14.67
898,12.94
899,12.83
900,14.22
901,13.0
902,8.11
903,17.78
904,14.11
905,11.22
906,10.67
907,6.83
908,14.39
909,6.83
910,15.94
911,10.22
912,14.78
913,10.33
914,3.67
915,6.83
916,6.5
917,3.44
918,3.22
919,11.28
920,7.28
921,7.44
922,8.5
923,9.28
924,9.78
925,9.61
926,7.61
927,11.11
928,8.83
929,10.94
930,9.78
931,8.44
932,7.0
933,10.94
934,12.94
935,6.78
936,10.61
937,11.28
938,10.61
939,7.17
940,12.5
941,8.5
942,9.06
943,9.5
944,11.11
945,3.28
946,5.94
947,12.06
948,7.06
949,9.83
950,8.17
951,4.5
952,8.11
953,10.78
954,8.61
955,8.67
956,9.0
957,14.72
958,6.17
959,3.5
960,10.17
961,11.67
962,8.67
963,13.44
964,8.89
965,9.83
966,8.94
967,4.17
968,8.67
969,4.0
970,9.78
971,9.61
972,9.83
973,5.56
974,9.94
975,12.89
976,6.33
977,4.72
978,9.06
979,11.56
980,10.0
981,4.61
982,6.67
983,17.22
984,11.44
985,8.56
986,9.17
987,6.72
988,9.78
989,9.28
990,9.28
991,11.72
992,10.33
993,8.89
994,10.78
995,7.61
996,10.28
997,6.61
998,3.78
999,10.78
1000,2.83
1001,5.28
1002,8.44
1003,6.5
1004,7.44
1005,13.44
1006,6.39
1007,7.28
1008,7.17
1009,4.78
1010,3.0
1011,3.89
1012,3.06
1013,3.56
1014,4.94
1015,6.33
1016,4.72
1017,8.56
1018,6.17
1019,3.89
1020,4.67
1021,1.33
1022,6.44
1023,6.44
1024,5.39
1025,10.22
1026,4.67
1027,1.28
1028,4.67
1029,4.89
1030,1.67
1031,3.17
1032,2.0
1033,2.56
1034,3.28
1035,5.22
1036,5.39
1037,4.78
1038,7.11
1039,1.67
1040,2.17
1041,2.22
1042,0.89
1043,2.72
1044,5.17
1045,0.78
1046,3.0
1047,2.39
1048,0.94
1049,3.33
1050,2.5
1051,3.78
1052,0.22
1053,3.11
1054,0.72
1055,1.0
1056,4.67
1057,0.72
1058,3.89
1059,1.56
1060,2.22
1061,2.44
1062,1.5
1063,8.94
1064,3.56
1065,8.28
1066,8.17
1067,4.22
1068,7.94
1069,6.28
1070,3.0
1071,8.56
1072,5.06
1073,5.06
1074,9.56
1075,6.44
1076,4.61
1077,13.94
1078,13.06
1079,7.5
1080,10.72
1081,8.11
1082,7.22
1083,6.61
1084,7.94
1085,11.11
1086,13.78
1087,9.44
1088,9.28
1089,9.33
1090,11.28
1091,12.28
1092,15.28
1093,3.56
1094,8.11
1095,9.28
1096,10.28
1097,9.06
1098,11.39
1099,8.06
1100,12.78
1101,13.44
1102,8.0
1103,11.56
1104,6.94
1105,4.28
1106,8.06
1107,10.61
1108,7.06
1109,8.39
1110,10.11
1111,4.5
1112,4.72
1113,13.89
1114,5.06
1115,15.06
1116,9.22
1117,10.11
1118,11.89
1119,7.22
1120,4.67
1121,11.94
1122,6.56
1123,5.44
1124,7.72
1125,2.72
1126,7.5
1127,12.72
1128,4.78
1129,10.22
1130,9.17
1131,7.89
1132,17.11
1133,17.06
1134,10.33
1135,10.5
1136,10.67
1137,11.0
1138,9.33
1139,11.28
1140,5.5
1141,11.94
1142,9.67
1143,10.83
1144,10.67
1145,2.56
1146,8.5
1147,11.0
1148,11.72
1149,11.06
1150,4.83
1151,10.83
1152,6.56
1153,4.89
1154,8.78
1155,2.94
1156,4.33
1157,9.5
1158,16.94
1159,10.89
1160,8.17
1161,4.11
1162,9.94
1163,7.33
1164,11.0
1165,7.22
1166,6.0
1167,8.39
1168,7.67
1169,10.56
1170,5.94
1171,6.33
1172,6.72
1173,12.28
1174,7.0
1175,9.28
1176,8.0
1177,4.67
1178,10.0
1179,9.61
1180,10.28
1181,8.5
1182,7.89
1183,10.06
1184,11.89
1185,7.94
1186,12.72
1187,11.56
1188,8.11
1189,10.72
1190,4.11
1191,6.39
1192,8.94
1193,9.56
1194,10.06
1195,11.44
1196,5.56
1197,4.44
1198,6.06
1199,13.5
1200,3.89
1201,7.94
1202,7.94
1203,7.56
1204,4.22
1205,6.94
1206,5.89
1207,3.67
1208,8.33
1209,5.83
1210,5.33
1211,6.78
1212,6.33
1213,7.11
1214,0.89
1215,5.17
1216,1.5
1217,5.44
1218,3.39
1219,6.94
1220,5.44
1221,5.78
1222,2.61
1223,2.56
1224,4.61
1225,5.72
1226,5.56
1227,5.94
1228,5.28
1229,3.94
1230,2.89
1231,5.06
1232,3.17
1233,6.78
1234,1.78
1235,5.5
1236,2.94
1237,6.5
1238,1.0
1239,3.11
1240,0.78
1241,5.56
1242,2.22
1243,3.44
1244,1.83
1245,0.56
1246,3.78
1247,0.72
1248,3.39
1249,1.78
1250,4.22
1251,1.44
1252,1.06
1253,1.0
1254,0.89
1255,1.39
1256,0.67
1257,4.67
1258,1.56
1259,1.78
1260,2.28
1261,0.67
1262,2.28
1263,1.72
1264,6.94
1265,0.67
1266,1.5
1267,3.61
1268,1.89
1269,2.72
1270,1.33
1271,0.83
1272,1.78
1273,0.78
1274,6.83
1275,1.72
1276,2.11
1277,2.78
1278,0.56
1279,1.67
1280,4.28
1281,5.67
1282,5.78
1283,5.33
1284,6.33
1285,2.11
1286,3.06
1287,7.33
1288,4.89
1289,3.33
1290,9.44
1291,3.22
1292,7.0
1293,2.28
1294,7.39
1295,9.0
1296,6.44
1297,4.22
1298,3.0
1299,8.72
1300,3.28
1301,6.0
1302,6.78
1303,6.28
1304,7.83
1305,5.94
1306,9.39
1307,6.83
1308,5.56
1309,8.67
1310,5.83
1311,6.11
1312,5.61
1313,11.33
1314,5.0
1315,8.72
1316,4.44
1317,7.44
1318,8.17
1319,6.28
1320,4.33
1321,7.94
1322,10.83
1323,8.94
1324,5.44
1325,12.83
1326,15.17
1327,7.56
1328,8.06
1329,8.33
1330,8.06
1331,5.22
1332,10.44
1333,7.22
1334,5.39
1335,5.56
1336,5.28
1337,5.78
1338,5.78
1339,6.94
1340,3.89
1341,4.89
1342,4.28
1343,7.33
1344,7.0
1345,9.06
1346,8.94
1347,5.33
1348,9.56
1349,4.17
1350,4.78
1351,9.72
1352,8.89
1353,3.89
1354,8.17
1355,12.33
1356,8.0
1357,6.33
1358,2.72
1359,7.56
1360,7.83
1361,7.94
1362,8.44
1363,9.44
1364,2.78
1365,3.94
1366,8.17
1367,2.17
1368,5.61
1369,5.06
1370,5.28
1371,10.83
1372,9.94
1373,9.5
1374,11.78
1375,3.39
1376,3.17
1377,6.44
1378,4.0
1379,5.72
1380,5.83
1381,6.61
1382,9.33
1383,10.06
1384,7.39
1385,7.78
1386,5.94
1387,2.44
1388,9.39
1389,5.0
1390,6.0
1391,5.5
1392,5.78
1393,5.72
1394,5.61
1395,3.17
1396,2.94
1397,6.11
1398,5.17
1399,5.17
1400,3.44
1401,5.44
1402,2.11
1403,4.56
1404,4.06
1405,3.5
1406,3.33
1407,3.22
1408,3.5
1409,1.39
1410,3.17
1411,4.72
1412,3.33
1413,4.5
1414,2.5
1415,3.28
1416,5.11
1417,4.28
1418,3.83
1419,3.44
1420,6.33
1421,1.67
1422,5.44
1423,2.61
1424,3.83
1425,3.44
1426,3.33
1427,4.56
1428,0.67
1429,4.33
1430,2.5
1431,1.94
1432,4.06
1433,5.17
1434,2.0
1435,1.78
1436,3.06
1437,0.67
1438,1.56
1439,4.39
1440,4.17
1441,1.67
1442,1.39
1443,3.61
1444,0.83
1445,2.56
1446,1.5
1447,0.89
1448,0.78
1449,0.83
1450,1.0
1451,0.83
1452,0.78
1453,2.0
1454,1.61
1455,0.78
1456,2.5
1457,0.06
1458,1.89
1459,2.67
1460,3.83
1461,1.56
1462,1.89
1463,1.61
1464,1.17
1465,0.72
1466,3.56
1467,1.72
1468,2.44
1469,0.89
1470,3.39
1471,1.44
1472,2.28
1473,1.61
1474,6.11
1475,4.28
1476,3.67
1477,3.89
1478,2.39
1479,3.11
1480,1.56
1481,5.72
1482,3.78
1483,3.06
1484,4.17
1485,4.83
1486,5.0
1487,6.44
1488,4.5
1489,4.67
1490,3.67
1491,7.67
1492,6.33
1493,6.78
1494,2.28
1495,2.83
1496,5.94
1497,5.0
1498,3.94
1499,5.5
1500,4.0
1501,8.22
1502,6.61
1503,6.89
1504,4.94
1505,8.78
1506,2.94
1507,4.5
1508,11.06
1509,7.83
1510,7.72
1511,4.06
1512,10.44
1513,0.83
1514,14.22
1515,7.39
1516,6.39
1517,9.39
1518,6.5
1519,7.89
1520,8.22
1521,9.67
1522,9.22
1523,6.83
1524,9.61
1525,4.56
1526,9.11
1527,6.89
1528,6.56
1529,8.61
1530,5.39
1531,8.39
1532,4.28
1533,7.83
1534,5.44
1535,4.67
1536,6.06
1537,5.11
1538,6.06
1539,8.33
1540,5.28
1541,8.39
1542,10.17
1543,3.0
1544,8.39
1545,6.39
1546,10.17
1547,6.56
1548,9.11
1549,9.89
1550,5.89
1551,4.44
1552,7.0
1553,6.83
1554,4.06
1555,6.39
1556,8.94
1557,9.33
1558,10.33
1559,5.44
1560,3.06
1561,6.06
1562,9.72
1563,9.17
1564,8.39
1565,6.67
1566,3.67
1567,9.67
1568,7.33
1569,4.94
1570,5.33
1571,9.17
1572,2.78
1573,4.28
1574,10.39
1575,2.39
1576,11.17
1577,6.67
1578,6.28
1579,5.94
1580,5.83
1581,6.0
1582,8.33
1583,5.39
1584,10.17
1585,6.67
1586,5.78
1587,9.72
1588,1.67
1589,7.78
1590,6.83
1591,2.0
1592,3.83
1593,4.83
1594,4.56
1595,4.44
1596,6.61
1597,6.89
1598,5.89
1599,7.0
1600,7.94
1601,4.72
1602,3.22
1603,3.0
1604,2.44
1605,1.89
1606,3.67
1607,7.61
1608,2.22
1609,3.39
1610,3.33
1611,2.33
1612,0.83
1613,4.28
1614,6.28
1615,4.11
1616,2.5
1617,2.94
1618,2.39
1619,0.89
1620,1.89
1621,0.94
1622,0.61
1623,2.33
1624,1.83
1625,1.44
1626,4.61
1627,1.22
1628,1.78
1629,0.89
1630,0.94
1631,2.11
1632,1.61
1633,1.67
1634,1.78
1635,1.72
1636,3.61
1637,1.5
1638,5.22
1639,2.72
1640,3.78
1641,0.78
1642,1.5
1643,0.89
1644,0.83
1645,0.89
1646,0.94
1647,2.44
1648,2.56
1649,2.5
1650,1.39
1651,3.39
1652,4.0
1653,1.94
1654,4.33
1655,3.56
1656,2.28
1657,6.11
1658,4.72
1659,2.39
1660,5.22
1661,3.67
1662,3.11
1663,8.0
1664,6.06
1665,8.61
1666,4.06
1667,10.39
1668,13.39
1669,4.89
1670,6.83
1671,8.39
1672,7.5
1673,11.17
1674,12.67
1675,14.0
1676,9.22
1677,6.78
1678,11.94
1679,10.67
1680,8.94
1681,10.94
1682,12.61
1683,6.0
1684,10.28
1685,6.28
1686,11.67
1687,10.5
1688,20.72
1689,18.61
1690,9.72
1691,12.11
1692,6.5
1693,10.78
1694,15.39
1695,11.94
1696,3.56
1697,3.94
1698,5.78
1699,10.17
1700,12.39
1701,9.94
1702,8.67
1703,14.28
1704,5.5
1705,11.78
1706,8.11
1707,13.11
1708,5.67
1709,9.67
1710,8.39
1711,5.56
1712,6.72
1713,9.22
1714,7.06
1715,10.33
1716,6.22
1717,11.28
1718,6.67
1719,10.56
1720,6.11
1721,8.78
1722,16.28
1723,13.89
1724,4.33
1725,8.17
1726,5.44
1727,6.0
1728,1.89
1729,13.44
1730,10.39
1731,8.39
1732,14.39
1733,8.39
1734,7.72
1735,7.44
1736,8.28
1737,8.22
1738,5.22
1739,11.0
1740,6.28
1741,8.67
1742,7.83
1743,9.89
1744,10.33
1745,8.11
1746,3.89
1747,7.0
1748,1.5
1749,4.78
1750,11.28
1751,5.78
1752,10.83
1753,12.0
1754,12.22
1755,7.94
1756,9.11
1757,9.67
1758,6.89
1759,5.17
1760,17.33
1761,2.67
1762,8.39
1763,9.89
1764,5.5
1765,8.17
1766,8.94
1767,8.28
1768,13.28
1769,12.56
1770,13.61
1771,4.22
1772,8.83
1773,6.39
1774,7.94
1775,11.06
1776,3.83
1777,7.89
1778,9.0
1779,7.5
1780,14.33
1781,11.5
1782,7.78
1783,11.56
1784,8.56
1785,9.17
1786,6.11
1787,4.89
1788,7.22
1789,4.83
1790,8.61
1791,12.28
1792,7.22
1793,6.56
1794,2.78
1795,5.33
1796,8.39
1797,7.83
1798,10.94
1799,2.72
1800,9.67
1801,7.94
1802,9.22
1803,3.44
1804,4.83
1805,6.83
1806,7.94
1807,8.83
1808,8.83
1809,6.56
1810,7.17
1811,2.5
1812,8.94
1813,7.56
1814,9.44
1815,5.61
1816,2.28
1817,9.78
1818,5.11
1819,3.67
1820,3.33
1821,5.5
1822,3.5
1823,5.56
1824,2.17
1825,1.61
1826,3.28
1827,6.5
1828,5.28
1829,2.33
1830,1.67
1831,8.89
1832,6.28
1833,1.72
1834,0.83
1835,6.61
1836,0.83
1837,1.0
1838,0.94
1839,3.0
1840,3.5
1841,2.39
1842,2.39
1843,1.56
1844,1.44
1845,2.83
1846,0.67
1847,1.0
1848,1.61
1849,0.78
1850,1.0
1851,0.61
1852,2.83
1853,1.61
1854,0.78
1855,3.61
1856,1.67
1857,2.78
1858,0.56
1859,1.0
1860,0.67
1861,1.56
1862,0.61
1863,3.5
1864,2.83
1865,0.78
1866,4.28
1867,0.83
1868,0.72
1869,5.06
1870,2.72
1871,3.06
1872,4.61
1873,5.33
1874,4.56
1875,4.56
1876,0.72
1877,5.67
1878,4.17
1879,5.28
1880,9.56
1881,1.33
1882,6.39
1883,3.72
1884,12.28
1885,10.33
1886,13.83
1887,8.78
1888,7.56
1889,9.33
1890,10.78
1891,9.83
1892,7.28
1893,10.17
1894,7.61
1895,12.11
1896,14.17
1897,10.28
1898,11.89
1899,9.17
1900,7.33
1901,11.5
1902,11.39
1903,7.89
1904,7.67
1905,9.06
1906,9.67
1907,9.78
1908,11.83
1909,12.44
1910,8.28
1911,12.61
1912,8.17
1913,5.22
1914,12.06
1915,14.61
1916,15.0
1917,8.72
1918,7.06
1919,10.22
1920,8.11
1921,11.44
1922,15.5
1923,7.44
1924,2.94
1925,12.17
1926,14.56
1927,2.94
1928,7.94
1929,7.44
1930,5.0
1931,6.89
1932,8.94
1933,8.83
1934,11.72
1935,11.83
1936,6.94
1937,6.78
1938,6.83
1939,11.56
1940,11.56
1941,12.11
1942,9.0
1943,6.94
1944,10.0
1945,5.39
1946,8.89
1947,5.94
1948,10.5
1949,5.83
1950,11.67
1951,4.22
1952,7.56
1953,6.83
1954,4.5
1955,13.28
1956,7.06
1957,3.67
1958,13.56
1959,9.67
1960,5.44
1961,5.33
1962,7.39
1963,9.5
1964,6.39
1965,14.11
1966,6.83
1967,7.94
1968,12.61
1969,8.78
1970,10.33
1971,8.06
1972,6.56
1973,7.33
1974,9.83
1975,8.17
1976,4.89
1977,9.28
1978,12.17
1979,7.06
1980,5.83
1981,9.11
1982,7.0
1983,12.78
1984,7.39
1985,6.06
1986,7.72
1987,10.83
1988,11.17
1989,11.39
1990,8.33
1991,11.56
1992,5.33
1993,7.89
1994,11.06
1995,8.0
1996,8.11
1997,8.83
1998,7.67
1999,9.94
2000,7.72
2001,5.94
2002,9.44
2003,4.06
2004,7.94
2005,10.78
2006,9.67
2007,8.5
2008,7.39
2009,9.72
2010,6.94
2011,8.22
2012,6.44
2013,11.22
2014,4.89
2015,6.56
2016,11.39
2017,7.5
2018,11.67
2019,13.0
2020,9.33
2021,7.83
2022,6.61
2023,3.06
2024,4.06
2025,10.56
2026,9.44
2027,12.56
2028,4.94
2029,5.33
2030,4.67
2031,6.56
2032,7.83
2033,4.61
2034,2.83
2035,3.5
2036,8.67
2037,1.83
2038,1.17
2039,3.67
2040,5.17
2041,7.06
2042,6.67
2043,5.72
2044,2.44
2045,7.0
2046,7.17
2047,4.06
2048,8.61
2049,3.17
2050,4.17
2051,5.94
2052,1.5
2053,7.5
2054,5.5
2055,1.56
2056,7.39
2057,2.33
2058,2.22
2059,2.89
2060,4.94
2061,11.94
2062,4.5
2063,6.17
2064,1.89
2065,5.67
2066,7.06
2067,3.11
2068,0.72
2069,3.61
2070,2.39
2071,3.28
2072,1.56
2073,2.28
2074,4.39
2075,1.0
2076,2.28
2077,0.44
2078,2.28
2079,7.28
2080,0.83
2081,1.44
2082,0.78
2083,0.72
2084,2.78
2085,4.28
2086,3.72
2087,0.78
2088,0.83
2089,1.06
2090,0.83
2091,0.94
2092,2.67
2093,3.44
2094,1.67
2095,1.89
2096,1.94
2097,0.78
2098,2.17
2099,1.33
2100,3.94
2101,2.39
2102,2.33
2103,3.67
2104,3.06
2105,2.28
2106,2.94
2107,3.33
2108,4.72
2109,3.44
2110,3.33
2111,4.06
2112,1.83
2113,4.33
2114,4.67
2115,5.89
2116,1.61
2117,4.39
2118,5.11
2119,8.72
2120,9.94
2121,4.78
2122,10.67
2123,9.11
2124,3.83
2125,8.28
2126,14.17
2127,11.61
2128,5.39
2129,7.11
2130,13.5
2131,9.67
2132,6.06
2133,9.56
2134,7.44
2135,10.44
2136,15.61
2137,11.89
2138,4.61
2139,8.56
2140,7.94
2141,11.22
