,value
773,63
774,66
775,67
776,65
777,65
778,64
779,69
780,65
781,65
782,62
783,57
784,52
785,51
786,62
787,59
788,68
789,64
790,65
791,66
792,67
793,63
794,59
795,68
796,66
797,66
798,65
799,64
800,70
801,67
802,63
803,64
804,65
805,64
806,60
807,65
808,69
809,63
810,59
811,69
812,60
813,60
814,59
815,62
816,61
817,58
818,63
819,65
820,57
821,62
822,62
823,62
824,64
825,63
826,57
827,59
828,63
829,67
830,65
831,61
832,61
833,60
834,67
835,57
836,59
837,60
838,58
839,66
840,69
841,62
842,65
843,65
844,61
845,64
846,65
847,65
848,66
849,61
850,64
851,69
852,59
853,71
854,66
855,66
856,67
857,68
858,64
859,68
860,69
861,71
862,66
863,70
864,71
865,68
866,62
867,67
868,63
869,71
870,64
871,70
872,67
873,67
874,66
875,61
876,69
877,67
878,70
879,71
880,67
881,59
882,69
883,69
884,68
885,72
886,68
887,62
888,64
889,66
890,60
891,66
892,71
893,56
894,63
895,67
896,64
897,67
898,62
899,65
900,66
901,65
902,73
903,67
904,62
905,68
906,62
907,67
908,63
909,68
910,69
911,69
912,65
913,61
914,73
915,66
916,51
917,50
918,34
919,24
920,7
921,14
922,7
923,32
924,17
925,8
926,6
927,8
928,20
929,8
930,23
931,74
932,65
933,67
934,74
935,59
936,65
937,64
938,64
939,68
940,73
941,71
942,67
943,66
944,68
945,65
946,57
947,70
948,66
949,66
950,65
951,66
952,64
953,55
954,30
955,11
956,12
957,33
958,43
959,1
960,19
961,23
962,53
963,60
964,56
965,44
966,57
967,55
968,63
969,68
970,70
971,62
972,66
973,67
974,68
975,67
976,66
977,68
978,69
979,68
980,71
981,67
982,64
983,64
984,64
985,63
986,65
987,64
988,65
989,66
990,63
991,67
992,62
993,61
994,62
995,65
996,63
997,61
998,59
999,56
1000,65
1001,63
1002,67
1003,63
1004,57
1005,58
1006,68
1007,62
1008,64
1009,66
1010,65
1011,57
1012,61
1013,58
1014,62
1015,61
1016,63
1017,59
1018,64
1019,64
1020,59
1021,66
1022,63
1023,57
1024,56
1025,53
1026,66
1027,61
1028,56
1029,58
1030,62
1031,64
1032,65
1033,73
1034,63
1035,63
1036,66
1037,62
1038,72
1039,56
1040,52
1041,61
1042,51
1043,64
1044,60
1045,59
1046,38
1047,53
1048,56
1049,53
1050,68
1051,56
1052,62
1053,65
1054,61
1055,64
1056,60
1057,58
1058,62
1059,67
1060,61
1061,59
1062,60
1063,59
1064,59
1065,63
1066,55
1067,54
1068,64
1069,63
1070,67
1071,62
1072,67
1073,65
1074,63
1075,61
1076,69
1077,65
1078,63
1079,65
1080,71
1081,66
1082,64
1083,61
1084,65
1085,65
1086,62
1087,64
1088,61
1089,59
1090,64
1091,55
1092,62
1093,61
1094,66
1095,61
1096,69
1097,66
1098,68
1099,69
1100,66
1101,66
1102,64
1103,63
1104,68
1105,62
1106,66
1107,71
1108,67
1109,66
1110,62
1111,62
1112,62
1113,59
1114,56
1115,41
1116,63
1117,46
1118,47
1119,63
1120,50
1121,46
1122,33
1123,23
1124,26
1125,19
1126,27
